epoch,accuracy,f1,loss,lr,precision,recall
0,0.008687700144946575,0.07442690432071686,0.7068702578544617,0.0004998775,0.04794640094041824,0.26652514934539795
1,0.05864197388291359,0.10076109319925308,0.541671097278595,0.00049975497,0.17309918999671936,0.07415929436683655
2,0.15809327363967896,0.10410860925912857,0.4610101878643036,0.00049963244,0.21302860975265503,0.06892365217208862
3,0.24588477611541748,0.1111777126789093,0.431905061006546,0.0004995099,0.21420074999332428,0.07516184449195862
4,0.2740054726600647,0.11696165055036545,0.4196205735206604,0.0004993874,0.2283092439174652,0.07869164645671844
5,0.22782349586486816,0.12387324869632721,0.4118368327617645,0.00049926486,0.24948865175247192,0.082466259598732
6,0.16518060863018036,0.1501767635345459,0.40333327651023865,0.00049914233,0.2778610587120056,0.10304977744817734
7,0.1560356616973877,0.20318832993507385,0.3914644122123718,0.0004990198,0.3272407650947571,0.14770978689193726
8,0.16026520729064941,0.28030872344970703,0.37745657563209534,0.0004988973,0.36790135502815247,0.2272709459066391
9,0.16197988390922546,0.32618868350982666,0.3643324077129364,0.00049877475,0.3621298372745514,0.2976340651512146
10,0.15546411275863647,0.3573974370956421,0.3506419360637665,0.0004986522,0.387271523475647,0.3321046829223633
11,0.13305898010730743,0.37830308079719543,0.34037041664123535,0.0004985297,0.40187785029411316,0.35765936970710754
12,0.13648833334445953,0.39698484539985657,0.33209073543548584,0.0004984072,0.4118257462978363,0.383407324552536
13,0.15134887397289276,0.41076532006263733,0.3233577609062195,0.00049828464,0.4207688868045807,0.4014882743358612
14,0.1529492437839508,0.4272204041481018,0.3158130645751953,0.0004981621,0.43335065245628357,0.42168593406677246
15,0.1353452205657959,0.4386596083641052,0.3096108138561249,0.0004980396,0.4487238824367523,0.4293581247329712
16,0.14506173133850098,0.44722041487693787,0.303431898355484,0.00049791706,0.4528414309024811,0.4420374929904938
17,0.1523776799440384,0.45692455768585205,0.299010306596756,0.00049779454,0.4689963757991791,0.4459187388420105
