epoch,accuracy,f1,loss,lr,precision,recall
0,0.12871895730495453,0.00229168264195323,0.23443856835365295,0.0004998775,0.17612776160240173,0.014894159510731697
1,0.12858624756336212,0.07312316447496414,0.1093321219086647,0.00049975497,0.4607159495353699,0.04152914136648178
2,0.11927225440740585,0.17844869196414948,0.10197027772665024,0.00049963244,0.5230852365493774,0.10808651149272919
3,0.11233501136302948,0.19804957509040833,0.09759410470724106,0.0004995099,0.5171458125114441,0.12296748161315918
4,0.10876384377479553,0.23239552974700928,0.0938047394156456,0.0004993874,0.5048378109931946,0.15168161690235138
5,0.10528919100761414,0.27290114760398865,0.09048398584127426,0.00049926486,0.49980998039245605,0.18836870789527893
6,0.10036677122116089,0.29405707120895386,0.08825467526912689,0.00049914233,0.4920780658721924,0.21022149920463562
7,0.09872595965862274,0.31166696548461914,0.08629931509494781,0.0004990198,0.4993063807487488,0.227089524269104
8,0.09406895935535431,0.3220992684364319,0.08474014699459076,0.0004988973,0.49693647027015686,0.23861491680145264
9,0.0889173075556755,0.3348546326160431,0.08313939720392227,0.00049877475,0.49753087759017944,0.2527993619441986
10,0.08919479697942734,0.3471553325653076,0.08187468349933624,0.0004986522,0.504639208316803,0.265084445476532
11,0.08563569188117981,0.3533962368965149,0.08078731596469879,0.0004985297,0.5037029385566711,0.27268466353416443
12,0.08351229131221771,0.3642900586128235,0.0798066183924675,0.0004984072,0.5082031488418579,0.2844173014163971
13,0.0793861448764801,0.3664512038230896,0.07915779203176498,0.00049828464,0.5043515563011169,0.28820347785949707
14,0.07737132906913757,0.3719030022621155,0.07831023633480072,0.0004981621,0.5021697878837585,0.2959658205509186
15,0.07815553992986679,0.38245847821235657,0.07743818312883377,0.0004980396,0.5120370984077454,0.3056882917881012
16,0.07465675473213196,0.39167553186416626,0.07653848826885223,0.00049791706,0.5172499418258667,0.315518856048584
17,0.0739087387919426,0.39682507514953613,0.07593873888254166,0.00049779454,0.5212538242340088,0.32078108191490173
18,0.07012040913105011,0.3997511565685272,0.07547041773796082,0.000497672,0.5166715383529663,0.32638871669769287
19,0.0704340934753418,0.4050348699092865,0.0747370645403862,0.0004975495,0.5171884894371033,0.333362877368927
20,0.06897425651550293,0.4102329611778259,0.07418324798345566,0.00049742695,0.521403968334198,0.33858466148376465
21,0.06711628288030624,0.41641107201576233,0.07349271327257156,0.0004973044,0.5260812044143677,0.34514838457107544
22,0.06843134015798569,0.42355242371559143,0.07298170030117035,0.0004971819,0.5293233394622803,0.3536185920238495
23,0.06574089825153351,0.42385801672935486,0.07277854532003403,0.0004970594,0.5282402634620667,0.354350209236145
24,0.06622348725795746,0.42890042066574097,0.07207777351140976,0.00049693685,0.5304542779922485,0.3603089451789856
25,0.06531862914562225,0.4285098910331726,0.07199060916900635,0.0004968143,0.5270684361457825,0.3614625334739685
26,0.06395531445741653,0.43521246314048767,0.07131447643041611,0.0004966918,0.532934308052063,0.3682493567466736
27,0.06229037418961525,0.4435197412967682,0.07071240246295929,0.00049656926,0.5418261289596558,0.3758285641670227
28,0.06207320839166641,0.44530147314071655,0.07056954503059387,0.00049644674,0.5441760420799255,0.37721189856529236
29,0.06151822954416275,0.4505336284637451,0.06993157416582108,0.0004963242,0.5480696558952332,0.38289862871170044
30,0.06011871621012688,0.45427608489990234,0.0696190670132637,0.0004962017,0.549243688583374,0.3876177668571472
31,0.06025142967700958,0.4551093578338623,0.06939725577831268,0.00049607916,0.5505344867706299,0.38835638761520386
32,0.05931037664413452,0.4567587971687317,0.06923818588256836,0.0004959566,0.5522050261497498,0.38976192474365234
33,0.05951547995209694,0.4581741690635681,0.06899548321962357,0.0004958341,0.5511254072189331,0.39255791902542114
34,0.060335882008075714,0.46545344591140747,0.06829570233821869,0.0004957116,0.5567837953567505,0.4002700746059418
35,0.05675264820456505,0.4662097990512848,0.06817802786827087,0.00049558905,0.5592331290245056,0.40014195442199707
36,0.0589725635945797,0.47014403343200684,0.06782258301973343,0.0004954665,0.5623100996017456,0.40441465377807617
37,0.058212485164403915,0.47428637742996216,0.06724105030298233,0.000495344,0.5668779015541077,0.4081955552101135
38,0.058417584747076035,0.4721224308013916,0.06728027015924454,0.00049522147,0.560781717300415,0.40801963210105896
39,0.058212485164403915,0.4761066436767578,0.06707924604415894,0.00049509894,0.5652114152908325,0.41163915395736694
40,0.05694568529725075,0.48056235909461975,0.06654063612222672,0.0004949764,0.5701996088027954,0.4157622456550598
41,0.055546171963214874,0.4828684329986572,0.06621058285236359,0.0004948539,0.5702680349349976,0.4189731478691101
42,0.0564630925655365,0.486189067363739,0.06604335457086563,0.00049473136,0.5745938420295715,0.4217599034309387
43,0.05493086948990822,0.4881507456302643,0.0656898245215416,0.00049460883,0.5735601186752319,0.4251891076564789
44,0.05593224614858627,0.49056586623191833,0.06546096503734589,0.0004944863,0.578728973865509,0.4260798990726471
45,0.055920179933309555,0.490811824798584,0.06526533514261246,0.0004943638,0.5769730806350708,0.42736855149269104
46,0.056487224996089935,0.49185100197792053,0.06519966572523117,0.00049424125,0.5783652067184448,0.4282989501953125
47,0.05532900616526604,0.4966162145137787,0.06472478806972504,0.0004941187,0.5805119276046753,0.4342758059501648
48,0.05645103007555008,0.49892646074295044,0.06452811509370804,0.0004939962,0.5849817395210266,0.4352756142616272
49,0.05557030066847801,0.4994719922542572,0.06452211737632751,0.00049387367,0.5846904516220093,0.43637150526046753
50,0.05415872484445572,0.5019684433937073,0.06415130943059921,0.00049375114,0.585580050945282,0.43956810235977173
