epoch,accuracy,f1,loss,lr,precision,recall
0,0.07812433689832687,0.00041449221316725016,0.14342309534549713,0.0004998775,0.11815990507602692,0.009838586673140526
1,0.0826491117477417,0.000570471805986017,0.04377543926239014,0.00049975497,0.1786494106054306,0.0002857307845260948
2,0.0809883326292038,0.0010202702833339572,0.04267783463001251,0.00049963244,0.17581166326999664,0.0005116991233080626
3,0.07998847961425781,0.0021677250042557716,0.041801635175943375,0.0004995099,0.19153903424739838,0.0010910064447671175
4,0.07865815609693527,0.008120494894683361,0.04095210134983063,0.0004993874,0.22876349091529846,0.004160939250141382
5,0.07520102709531784,0.029154907912015915,0.04015535116195679,0.00049926486,0.28753718733787537,0.015527622774243355
6,0.07402323186397552,0.050464749336242676,0.03955266252160072,0.00049914233,0.3137144446372986,0.02763434313237667
7,0.07238787412643433,0.06364946067333221,0.039091262966394424,0.0004990198,0.3254711925983429,0.03555928170681
8,0.0711338222026825,0.07254672795534134,0.03865613415837288,0.0004988973,0.34435269236564636,0.0408538356423378
9,0.07080335915088654,0.07692202180624008,0.03832866623997688,0.00049877475,0.3454432487487793,0.04360620304942131
10,0.06825287640094757,0.08729270100593567,0.037894491106271744,0.0004986522,0.35174188017845154,0.05020855739712715
11,0.06756653636693954,0.0943259447813034,0.037560977041721344,0.0004985297,0.3706708252429962,0.05434649810194969
12,0.06521094590425491,0.10282240808010101,0.03722992166876793,0.0004984072,0.3722122609615326,0.060113511979579926
13,0.06410940736532211,0.10633037239313126,0.03694478049874306,0.00049828464,0.37324175238609314,0.062466926872730255
14,0.06139793246984482,0.11599987000226974,0.03669336438179016,0.0004981621,0.3836950957775116,0.06869839131832123
15,0.06191480904817581,0.11652766168117523,0.03645626828074455,0.0004980396,0.38176679611206055,0.06914228200912476
16,0.059576161205768585,0.12542413175106049,0.0362265408039093,0.00049791706,0.3869820237159729,0.0751943290233612
17,0.05742393061518669,0.1305607706308365,0.0359693244099617,0.00049779454,0.39206597208976746,0.07874902337789536
18,0.055415745824575424,0.14000633358955383,0.03572598844766617,0.000497672,0.4065591096878052,0.08501392602920532
19,0.05455993488430977,0.14770612120628357,0.035524193197488785,0.0004975495,0.41008898615837097,0.0905655175447464
20,0.05395832657814026,0.14835381507873535,0.03535915166139603,0.00049742695,0.40266355872154236,0.0913831815123558
21,0.05261953920125961,0.15427789092063904,0.035204846411943436,0.0004973044,0.40532928705215454,0.09570249170064926
22,0.05172136053442955,0.15534690022468567,0.035092126578092575,0.0004971819,0.40946629643440247,0.09624272584915161
23,0.05047577992081642,0.15891790390014648,0.034897156059741974,0.0004970594,0.4086275100708008,0.09901399165391922
24,0.04987417161464691,0.16647663712501526,0.03471212461590767,0.00049693685,0.414946049451828,0.10453592985868454
25,0.047645676881074905,0.17033319175243378,0.034606050699949265,0.0004968143,0.4134848415851593,0.1076573058962822
26,0.04716269671916962,0.1776822954416275,0.034318629652261734,0.0004966918,0.4203243553638458,0.11317239701747894
27,0.0454426072537899,0.1792546510696411,0.03423107787966728,0.00049656926,0.4175622761249542,0.11461827903985977
28,0.04558665305376053,0.18493884801864624,0.03410337120294571,0.00049644674,0.42259809374809265,0.11880715936422348
29,0.044417329132556915,0.18838822841644287,0.03394714742898941,0.0004963242,0.4268430769443512,0.12134522199630737
30,0.04438343644142151,0.19300676882266998,0.03385592997074127,0.0004962017,0.43263232707977295,0.12459759414196014
31,0.04330731928348541,0.19261901080608368,0.033775944262742996,0.00049607916,0.4316970407962799,0.12435668706893921
32,0.04346831515431404,0.19744226336479187,0.0336432084441185,0.0004959566,0.43013638257980347,0.12858591973781586
33,0.04372251406311989,0.20086219906806946,0.0335150845348835,0.0004958341,0.4363876283168793,0.13100142776966095
34,0.04198547825217247,0.20457090437412262,0.0333830751478672,0.0004957116,0.43901947140693665,0.13373129069805145
35,0.040646687150001526,0.20555032789707184,0.03330456465482712,0.00049558905,0.434132844209671,0.13504557311534882
36,0.04068905487656593,0.2093476802110672,0.033165328204631805,0.0004954665,0.44335252046585083,0.13746647536754608
37,0.040307752788066864,0.2131214439868927,0.033091478049755096,0.000495344,0.44472789764404297,0.1405792385339737
38,0.04062126576900482,0.21661359071731567,0.03296484053134918,0.00049522147,0.4547215402126312,0.14260461926460266
39,0.03895201534032822,0.21711692214012146,0.03294958919286728,0.00049509894,0.44741714000701904,0.14371179044246674
40,0.039274003356695175,0.219166100025177,0.032781947404146194,0.0004949764,0.44763273000717163,0.14549040794372559
41,0.03901980072259903,0.223014697432518,0.032699041068553925,0.0004948539,0.44960615038871765,0.14860044419765472
42,0.038553766906261444,0.22586899995803833,0.03261064738035202,0.00049473136,0.4517054259777069,0.15100610256195068
43,0.038782548159360886,0.22850559651851654,0.03251005709171295,0.00049460883,0.45552217960357666,0.15293404459953308
