epoch,accuracy,f1,loss,lr,precision,recall
0,0.1131700947880745,0.0017556886887177825,0.0912514328956604,0.0004998775,0.18463240563869476,0.004182467237114906
1,0.10995267331600189,0.006278843618929386,0.04956967383623123,0.00049975497,0.1956409215927124,0.0031966629903763533
2,0.10109541565179825,0.023219365626573563,0.04753822088241577,0.00049963244,0.24118098616600037,0.012299498543143272
3,0.0936788022518158,0.05245140567421913,0.04604138061404228,0.0004995099,0.2778777778148651,0.029141530394554138
4,0.08853518962860107,0.0727393627166748,0.04507221281528473,0.0004993874,0.2799244821071625,0.04204855486750603
5,0.08517370373010635,0.08792045712471008,0.04437346011400223,0.00049926486,0.28647541999816895,0.05223560705780983
6,0.08233511447906494,0.09999343007802963,0.04390063136816025,0.00049914233,0.29312533140182495,0.0606098473072052
7,0.08041960000991821,0.10717013478279114,0.04350391775369644,0.0004990198,0.29460957646369934,0.06582531332969666
8,0.07841871678829193,0.1156499907374382,0.0431339256465435,0.0004988973,0.2940030097961426,0.0724136009812355
9,0.0781252533197403,0.12152321636676788,0.04285532981157303,0.00049877475,0.3001064360141754,0.07661515474319458
10,0.07779444009065628,0.12951870262622833,0.04256029427051544,0.0004986522,0.306953489780426,0.0825112909078598
11,0.07584691047668457,0.13515985012054443,0.04232819378376007,0.0004985297,0.306709885597229,0.0871291384100914
12,0.07466238737106323,0.13926734030246735,0.04211081936955452,0.0004984072,0.30354660749435425,0.09080293774604797
13,0.07427821308374405,0.1478443443775177,0.04180419445037842,0.00049828464,0.3137223720550537,0.09718900173902512
14,0.07318973541259766,0.1522846668958664,0.04168681427836418,0.0004981621,0.3174206614494324,0.10070347040891647
15,0.07389404624700546,0.15525178611278534,0.04150800034403801,0.0004980396,0.3201015889644623,0.1030261442065239
16,0.07387270033359528,0.1592695713043213,0.04139569401741028,0.00049791706,0.31980714201927185,0.10656595230102539
17,0.07296562939882278,0.16153480112552643,0.041254330426454544,0.00049779454,0.3240307569503784,0.10812640935182571
18,0.07182913273572922,0.16738997399806976,0.041066620498895645,0.000497672,0.3256460130214691,0.11323322355747223
19,0.07326976954936981,0.17192883789539337,0.040877748280763626,0.0004975495,0.3302772641181946,0.11679306626319885
20,0.07172775268554688,0.17469824850559235,0.040720563381910324,0.00049742695,0.3304118812084198,0.11936299502849579
21,0.07127422094345093,0.1780664026737213,0.04064285755157471,0.0004973044,0.33140304684638977,0.1223415955901146
22,0.07183446735143661,0.18051312863826752,0.0405484214425087,0.0004971819,0.33780384063720703,0.12381254881620407
23,0.07174909114837646,0.18362362682819366,0.04042811319231987,0.0004970594,0.33711913228034973,0.12676307559013367
24,0.07100743055343628,0.18603453040122986,0.04032690078020096,0.00049693685,0.33643844723701477,0.12917862832546234
25,0.07177043706178665,0.18791942298412323,0.0402749702334404,0.0004968143,0.33817732334136963,0.13068293035030365
26,0.0716797336935997,0.1918395608663559,0.04012179747223854,0.0004966918,0.3405560851097107,0.13411253690719604
27,0.07095407694578171,0.19340389966964722,0.040049098432064056,0.00049656926,0.33956849575042725,0.13576695322990417
28,0.07106079161167145,0.19620728492736816,0.03992513194680214,0.00049644674,0.34631824493408203,0.1374855786561966
29,0.07150898873806,0.1972842663526535,0.03991912305355072,0.0004963242,0.34564682841300964,0.13868719339370728
30,0.07075131684541702,0.1974923014640808,0.0398339182138443,0.0004962017,0.3453439474105835,0.13892745971679688
31,0.07069262862205505,0.19950276613235474,0.039815157651901245,0.00049607916,0.3441600799560547,0.14112648367881775
32,0.07148764282464981,0.20072795450687408,0.03974803164601326,0.0004959566,0.3451424539089203,0.14218710362911224
33,0.07039383053779602,0.20172004401683807,0.03969160467386246,0.0004958341,0.34587571024894714,0.14308692514896393
34,0.0709647461771965,0.20194149017333984,0.03966540843248367,0.0004957116,0.34579765796661377,0.14330248534679413
35,0.07103411108255386,0.2073013037443161,0.03955401852726936,0.00049558905,0.35105007886886597,0.14785604178905487
36,0.07047386467456818,0.20860488712787628,0.039451587945222855,0.0004954665,0.3533089756965637,0.1488257795572281
37,0.06988160312175751,0.21174272894859314,0.03938017785549164,0.000495344,0.35396844148635864,0.1517590433359146
38,0.06967350840568542,0.21088743209838867,0.0393773652613163,0.00049522147,0.3525483310222626,0.15115514397621155
39,0.07099142670631409,0.21026837825775146,0.039398159831762314,0.00049509894,0.3521776795387268,0.15059542655944824
40,0.07104478031396866,0.2146831601858139,0.03931619971990585,0.0004949764,0.35633736848831177,0.15445934236049652
41,0.0706019178032875,0.21155455708503723,0.03931962698698044,0.0004948539,0.35072630643844604,0.1522001475095749
42,0.07011637091636658,0.21332384645938873,0.0392904207110405,0.00049473136,0.3521656095981598,0.1537453979253769
43,0.06978555768728256,0.21751263737678528,0.03910502418875694,0.00049460883,0.35673922300338745,0.157236710190773
44,0.07046853005886078,0.21677565574645996,0.039125941693782806,0.0004944863,0.35674095153808594,0.15647120773792267
45,0.06976955384016037,0.21965333819389343,0.0390450581908226,0.0004943638,0.36022210121154785,0.15868808329105377
46,0.06964149326086044,0.22034235298633575,0.03906313329935074,0.00049424125,0.3601927161216736,0.15950681269168854
47,0.0695294439792633,0.21984119713306427,0.03900037333369255,0.0004941187,0.35832977294921875,0.15935350954532623
48,0.0691826269030571,0.22496342658996582,0.038907889276742935,0.0004939962,0.36618396639823914,0.1631331890821457
49,0.06980156898498535,0.22287534177303314,0.03897213563323021,0.00049387367,0.3641361594200134,0.1614203155040741
50,0.06991895288228989,0.22559723258018494,0.038835301995277405,0.00049375114,0.3633417785167694,0.1644698828458786
51,0.07073531299829483,0.22664013504981995,0.038794562220573425,0.0004936286,0.3652118742465973,0.16516105830669403
52,0.06947075575590134,0.2277107685804367,0.03879840299487114,0.0004935061,0.36646562814712524,0.1659371554851532
